INFO  - 2014-09-15 13:41:16.463; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-09-15 13:41:16.463; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-09-15 13:41:16.476; org.apache.solr.client.solrj.impl.HttpClientUtil; Creating new http client, config:maxConnectionsPerHost=20&maxConnections=10000&socketTimeout=0&connTimeout=0&retry=false
INFO  - 2014-09-15 13:41:16.696; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-09-15 13:41:16.697; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-09-15 13:41:16.735; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /home/hojoon/SmartSearch/SSEngine/solr
INFO  - 2014-09-15 13:41:16.751; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /home/hojoon/SmartSearch/SSEngine/solr/collection1/
INFO  - 2014-09-15 13:41:16.751; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-09-15 13:41:16.754; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: /home/hojoon/SmartSearch/SSEngine/solr/collection1
INFO  - 2014-09-15 13:41:16.754; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/home/hojoon/SmartSearch/SSEngine/solr/collection1/'
INFO  - 2014-09-15 13:41:16.836; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
WARN  - 2014-09-15 13:41:16.837; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/extraction/lib (resolved as: /home/hojoon/SmartSearch/SSEngine/solr/collection1/../../../contrib/extraction/lib).
WARN  - 2014-09-15 13:41:16.837; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/hojoon/SmartSearch/SSEngine/solr/collection1/../../../dist).
WARN  - 2014-09-15 13:41:16.837; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/clustering/lib/ (resolved as: /home/hojoon/SmartSearch/SSEngine/solr/collection1/../../../contrib/clustering/lib).
WARN  - 2014-09-15 13:41:16.838; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/hojoon/SmartSearch/SSEngine/solr/collection1/../../../dist).
WARN  - 2014-09-15 13:41:16.838; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/langid/lib/ (resolved as: /home/hojoon/SmartSearch/SSEngine/solr/collection1/../../../contrib/langid/lib).
WARN  - 2014-09-15 13:41:16.838; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/hojoon/SmartSearch/SSEngine/solr/collection1/../../../dist).
WARN  - 2014-09-15 13:41:16.839; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../contrib/velocity/lib (resolved as: /home/hojoon/SmartSearch/SSEngine/solr/collection1/../../../contrib/velocity/lib).
WARN  - 2014-09-15 13:41:16.839; org.apache.solr.core.SolrResourceLoader; Can't find (or read) directory to add to classloader: ../../../dist/ (resolved as: /home/hojoon/SmartSearch/SSEngine/solr/collection1/../../../dist).
INFO  - 2014-09-15 13:41:16.997; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2014-09-15 13:41:17.003; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: LUCENE_45
INFO  - 2014-09-15 13:41:17.146; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2014-09-15 13:41:17.153; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2014-09-15 13:41:17.233; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2014-09-15 13:41:17.758; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2014-09-15 13:41:17.842; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-15 13:41:17.850; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2014-09-15 13:41:17.998; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2014-09-15 13:41:18.007; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /home/hojoon/SmartSearch/SSEngine/solr/collection1/, dataDir=/home/hojoon/SmartSearch/SSEngine/solr/collection1/data/
INFO  - 2014-09-15 13:41:18.008; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2014-09-15 13:41:18.015; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2014-09-15 13:41:18.016; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2014-09-15 13:41:18.032; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/hojoon/SmartSearch/SSEngine/solr/collection1/data
INFO  - 2014-09-15 13:41:18.032; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/home/hojoon/SmartSearch/SSEngine/solr/collection1/data/index/
INFO  - 2014-09-15 13:41:18.033; org.apache.solr.core.CachingDirectoryFactory; return new directory for /home/hojoon/SmartSearch/SSEngine/solr/collection1/data/index
INFO  - 2014-09-15 13:41:18.045; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
